apt_id,ttp_id
BRONZE BUTLER,T1059.005
BRONZE BUTLER,T1059.006
BRONZE BUTLER,T1070.004
BRONZE BUTLER,T1071.001
BRONZE BUTLER,T1080
BRONZE BUTLER,T1083
BRONZE BUTLER,T1087.002
BRONZE BUTLER,T1102.001
BRONZE BUTLER,T1105
BRONZE BUTLER,T1113
BRONZE BUTLER,T1124
BRONZE BUTLER,T1132.001
BRONZE BUTLER,T1140
BRONZE BUTLER,T1189
BRONZE BUTLER,T1203
BRONZE BUTLER,T1204.002
BRONZE BUTLER,T1518
BRONZE BUTLER,T1547.001
BRONZE BUTLER,T1548.002
BRONZE BUTLER,T1550.003
BRONZE BUTLER,T1560.001
BRONZE BUTLER,T1562.001
BRONZE BUTLER,T1566.001
BRONZE BUTLER,T1573.001
BRONZE BUTLER,T1574.001
BRONZE BUTLER,T1588.002
BackdoorDiplomacy,T1027
BackdoorDiplomacy,T1036.004
BackdoorDiplomacy,T1036.005
BackdoorDiplomacy,T1046
BackdoorDiplomacy,T1049
BackdoorDiplomacy,T1055.001
BackdoorDiplomacy,T1074.001
BackdoorDiplomacy,T1095
BackdoorDiplomacy,T1105
BackdoorDiplomacy,T1120
BackdoorDiplomacy,T1190
BackdoorDiplomacy,T1505.003
BackdoorDiplomacy,T1574.001
BackdoorDiplomacy,T1588.001
BackdoorDiplomacy,T1588.002
BlackByte,T1003
BlackByte,T1012
BlackByte,T1016
BlackByte,T1018
BlackByte,T1021.001
BlackByte,T1021.002
BlackByte,T1036.008
BlackByte,T1041
BlackByte,T1046
BlackByte,T1047
BlackByte,T1053.005
BlackByte,T1055
BlackByte,T1055.012
BlackByte,T1059.001
BlackByte,T1059.003
BlackByte,T1068
BlackByte,T1070.004
BlackByte,T1071.001
BlackByte,T1078
BlackByte,T1078.002
BlackByte,T1082
BlackByte,T1087.002
BlackByte,T1105
BlackByte,T1112
BlackByte,T1134.003
BlackByte,T1135
BlackByte,T1136.002
BlackByte,T1140
BlackByte,T1190
BlackByte,T1219
BlackByte,T1480
BlackByte,T1482
BlackByte,T1486
BlackByte,T1490
BlackByte,T1491.001
BlackByte,T1505.003
BlackByte,T1518.001
BlackByte,T1543.003
BlackByte,T1547.001
BlackByte,T1560
BlackByte,T1562
BlackByte,T1562.001
BlackByte,T1562.004
BlackByte,T1567
BlackByte,T1569.002
BlackByte,T1570
BlackByte,T1583.003
BlackByte,T1608.001
BlackByte,T1614.001
BlackOasis,T1027
BlackTech,T1021.004
BlackTech,T1036.002
BlackTech,T1046
BlackTech,T1106
BlackTech,T1190
BlackTech,T1203
BlackTech,T1204.001
BlackTech,T1204.002
BlackTech,T1566.001
BlackTech,T1566.002
BlackTech,T1574.001
BlackTech,T1588.002
BlackTech,T1588.003
BlackTech,T1588.004
Blue Mockingbird,T1003.001
Blue Mockingbird,T1021.001
Blue Mockingbird,T1021.002
Blue Mockingbird,T1027.013
Blue Mockingbird,T1036.005
Blue Mockingbird,T1047
Blue Mockingbird,T1053.005
Blue Mockingbird,T1059.001
Blue Mockingbird,T1059.003
Blue Mockingbird,T1082
Blue Mockingbird,T1090
Blue Mockingbird,T1112
Blue Mockingbird,T1134
Blue Mockingbird,T1190
Blue Mockingbird,T1218.010
Blue Mockingbird,T1218.011
Blue Mockingbird,T1496.001
Blue Mockingbird,T1543.003
Blue Mockingbird,T1546.003
Blue Mockingbird,T1569.002
Blue Mockingbird,T1574.012
Blue Mockingbird,T1588.002
CURIUM,T1005
CURIUM,T1041
CURIUM,T1048.002
CURIUM,T1059.001
CURIUM,T1082
CURIUM,T1124
CURIUM,T1189
CURIUM,T1204.002
CURIUM,T1505.003
CURIUM,T1566.001
CURIUM,T1566.003
CURIUM,T1583.001
CURIUM,T1583.003
CURIUM,T1583.004
CURIUM,T1584.006
CURIUM,T1585.001
CURIUM,T1585.002
CURIUM,T1598.003
CURIUM,T1608.004
Carbanak,T1036.004
Carbanak,T1036.005
Carbanak,T1078
Carbanak,T1102.002
Carbanak,T1218.011
Carbanak,T1219
Carbanak,T1543.003
Carbanak,T1562.004
Carbanak,T1588.002
Chimera,T1003.003
Chimera,T1007
Chimera,T1012
Chimera,T1016
Chimera,T1018
Chimera,T1021.001
Chimera,T1021.002
Chimera,T1021.006
Chimera,T1027.010
Chimera,T1033
Chimera,T1036.005
Chimera,T1039
Chimera,T1041
Chimera,T1046
Chimera,T1047
Chimera,T1049
Chimera,T1053.005
Chimera,T1057
Chimera,T1059.001
Chimera,T1059.003
Chimera,T1069.001
Chimera,T1070.001
Chimera,T1070.004
Chimera,T1070.006
Chimera,T1071.001
Chimera,T1071.004
Chimera,T1074.001
Chimera,T1074.002
Chimera,T1078
Chimera,T1078.002
Chimera,T1082
Chimera,T1083
Chimera,T1087.001
Chimera,T1087.002
Chimera,T1105
Chimera,T1106
Chimera,T1110.003
Chimera,T1110.004
Chimera,T1111
Chimera,T1114.001
Chimera,T1114.002
Chimera,T1119
Chimera,T1124
Chimera,T1133
Chimera,T1135
Chimera,T1201
Chimera,T1213.002
Chimera,T1217
Chimera,T1482
Chimera,T1550.002
Chimera,T1556.001
Chimera,T1560.001
Chimera,T1567.002
Chimera,T1569.002
Chimera,T1570
Chimera,T1572
Chimera,T1574.001
Chimera,T1588.002
Chimera,T1589.001
Cinnamon Tempest,T1021.002
Cinnamon Tempest,T1047
Cinnamon Tempest,T1059.001
Cinnamon Tempest,T1059.003
Cinnamon Tempest,T1059.006
Cinnamon Tempest,T1078
Cinnamon Tempest,T1078.002
Cinnamon Tempest,T1080
Cinnamon Tempest,T1090
Cinnamon Tempest,T1105
Cinnamon Tempest,T1140
Cinnamon Tempest,T1190
Cinnamon Tempest,T1484.001
Cinnamon Tempest,T1543.003
Cinnamon Tempest,T1567.002
Cinnamon Tempest,T1572
Cinnamon Tempest,T1574.001
Cinnamon Tempest,T1588.002
Cinnamon Tempest,T1657
Cleaver,T1003.001
Cleaver,T1557.002
Cleaver,T1585.001
Cleaver,T1587.001
Cleaver,T1588.002
Cobalt Group,T1021.001
Cobalt Group,T1027.010
Cobalt Group,T1037.001
Cobalt Group,T1046
Cobalt Group,T1053.005
Cobalt Group,T1055
Cobalt Group,T1059.001
Cobalt Group,T1059.003
Cobalt Group,T1059.005
Cobalt Group,T1059.007
Cobalt Group,T1068
Cobalt Group,T1070.004
Cobalt Group,T1071.001
Cobalt Group,T1071.004
Cobalt Group,T1105
Cobalt Group,T1195.002
Cobalt Group,T1203
Cobalt Group,T1204.001
Cobalt Group,T1204.002
Cobalt Group,T1218.003
Cobalt Group,T1218.008
Cobalt Group,T1218.010
Cobalt Group,T1219
Cobalt Group,T1220
Cobalt Group,T1518.001
Cobalt Group,T1543.003
Cobalt Group,T1547.001
Cobalt Group,T1548.002
Cobalt Group,T1559.002
Cobalt Group,T1566.001
Cobalt Group,T1566.002
Cobalt Group,T1572
Cobalt Group,T1573.002
Cobalt Group,T1588.002
Confucius,T1041
Confucius,T1053.005
Confucius,T1059.001
Confucius,T1059.005
Confucius,T1071.001
Confucius,T1082
Confucius,T1083
Confucius,T1105
Confucius,T1119
Confucius,T1203
Confucius,T1204.001
Confucius,T1204.002
Confucius,T1218.005
Confucius,T1221
Confucius,T1547.001
Confucius,T1566.001
Confucius,T1566.002
Confucius,T1567.002
Confucius,T1583.006
CopyKittens,T1059.001
CopyKittens,T1090
CopyKittens,T1218.011
CopyKittens,T1553.002
CopyKittens,T1560.001
CopyKittens,T1560.003
CopyKittens,T1564.003
CopyKittens,T1588.002
Daggerfly,T1003.002
Daggerfly,T1012
Daggerfly,T1036.003
Daggerfly,T1053.005
Daggerfly,T1059.001
Daggerfly,T1071.001
Daggerfly,T1082
Daggerfly,T1105
Daggerfly,T1136.001
Daggerfly,T1189
Daggerfly,T1195.002
Daggerfly,T1204.001
Daggerfly,T1218.011
Daggerfly,T1553.002
Daggerfly,T1574.001
Daggerfly,T1584.004
Daggerfly,T1587.002
Dark Caracal,T1005
Dark Caracal,T1027.002
Dark Caracal,T1027.013
Dark Caracal,T1059.003
Dark Caracal,T1071.001
Dark Caracal,T1083
Dark Caracal,T1113
Dark Caracal,T1189
Dark Caracal,T1204.002
Dark Caracal,T1218.001
Dark Caracal,T1547.001
Dark Caracal,T1566.003
DarkHydrus,T1059.001
DarkHydrus,T1187
DarkHydrus,T1204.002
DarkHydrus,T1221
DarkHydrus,T1564.003
DarkHydrus,T1566.001
DarkHydrus,T1588.002
DarkVishnya,T1040
DarkVishnya,T1046
DarkVishnya,T1059.001
DarkVishnya,T1110
DarkVishnya,T1135
DarkVishnya,T1200
DarkVishnya,T1219
DarkVishnya,T1543.003
